Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Date
HUTBKGWX;journalArticle;1982;Wood, Graeme A;Data smoothing and differentiation procedures in biomechanics;Exercise and sport sciences reviews;;;;1982
C974VGPA;journalArticle;2012;"Hu, Bang; Lu, Shuai";Numerical differentiation by a Tikhonov regularization method based on the discrete cosine transform;Applicable Analysis;;;;2012
8BPKAYYQ;journalArticle;2006;"Lu, Shuai; Pereverzev, Sergei";Numerical differentiation from a viewpoint of regularization theory;Mathematics of computation;;;;2006
99EJP5JF;journalArticle;2014;"Knowles, Ian; Renka, Robert J";Methods for numerical differentiation of noisy data;Electron. J. Differ. Equ;;;;2014
QZXPCEGN;journalArticle;2002;"Rix, Antony W.; Hollier, Michael P.; Hekstra, Andries P.; Beerends, John G.";Perceptual Evaluation of Speech Quality (PESQ) The New ITU Standard for End-to-End Speech Quality Assessment Part I–Time-Delay Compensation;Journal of the Audio Engineering Society;;;;2002
MJHRCX3Z;conferencePaper;2002;"Sarris, John C.; Dalianis, Sotirios A.; Cambourakis, George E.";Non-stationary filtering methods for audio signals;Audio Engineering Society Conference: 21st International Conference: Architectural Acoustics and Sound Reinforcement;;;;2002
YSJVUF6K;conferencePaper;2002;"Semyonov, Edward V.; Lipshitz, Stanley P.; Vanderkooy, John";Noise Shaping in Digital Test-Signal Generation;Audio Engineering Society Convention 113;;;;2002
KUT2HU28;journalArticle;2003;"Tan, Chin-Tuan; Moore, Brian CJ; Zacharov, Nick";The effect of nonlinear distortion on the perceived quality of music and speech signals;Journal of the Audio Engineering Society;;;;2003
HHMPFPZZ;journalArticle;1999;"Khan, Ishtiaq Rasool; Ohba, Ryoji";Closed-form expressions for the finite difference approximations of first and higher derivatives based on Taylor series;Journal of Computational and Applied Mathematics;;03770427;10.1016/S0377-0427(99)00088-6;1999-07
FBG97Q34;journalArticle;2018;"Wagner, Jakub; Mazurek, Paweł; Miękina, Andrzej; Morawski, Roman Z.";Regularised differentiation of measurement data in systems for monitoring of human movements;Biomedical Signal Processing and Control;;1746-8094;10.1016/j.bspc.2018.02.010;2018-05-01
7F5XHTG5;journalArticle;1941;Bickley, W. G.;Formulae for Numerical Differentiation;The Mathematical Gazette;;0025-5572;10.2307/3606475;1941
3LE4H3A8;book;1984;Groetsch, C. W.;The theory of Tikhonov regularization for Fredholm equations of the first kind;;978-0-273-08642-0;;;1984
